연번,호선,station_name,층수,형식,지반고,레일면고,선로기준정거장깊이,정거장깊이,비고,위도,경도,station_depth,underground_floors,is_island_platform,is_side_platform,is_transfer_station,line_1to4,line_5to8,risk_area_count_500m,risk_area_count_1km,nearest_risk_distance,risk_weighted_score_500m,construction_count_500m,ongoing_construction_500m,total_construction_amount_500m,avg_construction_amount_500m,subway_related_construction_500m,large_construction_500m,construction_density_500m,water_building_count_500m,total_water_output_500m,total_waste_output_500m,avg_water_output_500m,large_water_buildings_500m,max_water_output_500m,water_building_density_500m,road_construction_count_500m,ongoing_road_construction_500m,subway_related_road_500m,communication_infra_500m,water_sewer_construction_500m,major_road_construction_500m,avg_construction_duration_500m,long_term_construction_500m,road_construction_density_500m,comprehensive_risk_score,underground_activity_density,ground_disturbance_index,infrastructure_density,risk_level,underground_risk_score_norm,subway_risk_score_norm,construction_risk_score_norm,water_output_risk_score_norm,station_risk_score
1,1,서울,B2,섬식,129.99,117.04,12.95,11.85,"4호선,경의중앙선,공항철도환승",37.55315,126.972533,12.950000000000005,1.0,1,0,1,1,0,0.0,0,2392.534836734708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321243523316062,0.0623678205715613,2564.89,51.27235294117647,7,236.0,64.9352167814933,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.472978,584,472.5,267,Low,0.0,0.1,0.0,0.0648307243010558,0.1787385960996641
2,1,시청,B2,상대식,129.97,118.82,11.15,10.05,2호선환승,37.56359,126.975407,11.150000000000006,1.0,0,1,1,1,0,0.0,0,1322.2923091612554,0.0,6,0.5454545454545454,35.7,5.95,0.0,0.0,7.639437268410976,0.2590673575129534,0.0844073651027466,2512.45,35.3894,6,164.9,127.32395447351628,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.157788,639,472.5,267,Medium,0.0,0.0444444444444444,0.109090909090909,0.1144915742052333,0.347098696243426
3,1,종각,B2,상대식,128.77,116.24,12.53,11.43,,37.570203,126.983116,12.530000000000015,1.0,0,1,0,1,0,1.0,4,333.702328368281,10.042764333916612,3,0.0909090909090909,9.7,3.233333333333333,0.0,0.0,3.819718634205488,0.645077720207254,0.3287363652604019,8368.19,55.35301204819277,49,531.24,317.0366466390555,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,84.55658,783,472.5,267,Very High,0.1,0.0111111111111111,0.0181818181818181,0.3246046951558852,0.7658236046461012
4,1,종로3가,B2,상대식,124.38,112.04,12.34,11.24,"3,5호선환승",37.570429,126.992095,12.33999999999999,1.0,0,1,1,1,0,0.25,4,345.92123130583474,2.890831523191137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186528497409326,0.0839658825322447,1997.33,28.62138211382113,6,185.0,156.60846400242502,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.054086,656,472.5,267,Medium,0.00625,0.0444444444444444,0.0,0.1342062440910591,0.3128690500667127
5,1,종로5가,B2,상대식,121.75,109.26,12.49,11.39,,37.570971,127.0019,12.489999999999997,1.0,0,1,0,1,0,0.25,2,265.47187994917,3.766877306144329,1,0.0909090909090909,0.0,0.0,0.0,0.0,1.2732395447351628,0.5673575129533679,0.0741292406237426,1554.65,14.191826484018266,0,95.99,278.83946029700064,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.221602,753,472.5,267,Medium,0.00625,0.0111111111111111,0.0181818181818181,0.2138289178590368,0.488603718074604
6,1,동대문,B2,상대식,120.52,108.93,11.59,10.49,4호선환승,37.57179,127.011383,11.58999999999999,1.0,0,1,1,1,0,0.0,1,757.7721143387668,0.0,3,0.0909090909090909,184.29604,61.43201333333334,0.0,0.5,3.819718634205488,0.2176165803108808,0.0536688728074642,1801.33,26.787738095238097,6,133.1,106.95212175775367,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.650034,618,474.5,267,Medium,0.0,0.0444444444444444,0.1181818181818182,0.0904284843727816,0.3009699706432591
7,1,동묘앞,B1,상대식,119.91,109.97,9.94,8.84,6호선환승,37.573265,127.016459,9.939999999999998,1.0,0,1,1,1,0,0.0,0,1189.860050423476,0.0,1,0.0909090909090909,0.0,0.0,0.0,0.0,1.2732395447351628,0.2202072538860103,0.0347633536552061,1008.52,17.147294117647057,0,82.39,108.22536130248884,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.491504,619,472.5,267,Low,0.0,0.0444444444444444,0.0181818181818181,0.0849902025137388,0.2159367691417976
8,1,신설동,B2,상대식,118.0,108.46,9.54,8.44,"2호선(지선),우이신설선환승",37.576117,127.02471,9.540000000000006,1.0,0,1,1,1,0,0.0,0,1612.340280602725,0.0,3,0.0,0.0,0.0,0.0,0.0,3.819718634205488,0.2072538860103627,0.03975489727242,1217.8,20.835,2,141.6,101.85916357881302,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.28336,613,472.5,267,Low,0.0,0.0444444444444444,0.0,0.0823362610942609,0.1968241820547953
9,1,제기동,B2,상대식,115.91,105.49,10.42,9.32,,37.578116,127.034902,10.420000000000002,1.0,0,1,0,1,0,0.0,0,1660.8448204745057,0.0,2,0.1818181818181818,1800.8,900.4,0.0,0.5,2.546479089470325,0.2927461139896373,0.0781784300345529,2651.78,29.006902654867257,8,316.41,143.8760685550734,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.105556,648,474.5,267,Medium,0.0,0.0111111111111111,0.1363636363636363,0.1236415146747301,0.3749198524131544
10,1,청량리,B2,섬식,114.41,107.97,6.44,5.34,"분당선,경의중앙선,경춘선환승",37.580148,127.045063,6.439999999999998,1.0,1,0,1,1,0,0.0,0,2155.2117304287503,0.0,3,0.0,0.0,0.0,0.0,0.0,3.819718634205488,0.0569948186528497,0.01017508802819,426.61,19.39136363636364,0,89.1,28.01126998417358,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.03532200000001,555,472.5,267,Low,0.0,0.1,0.0,0.0223899688936799,0.0856583029903055
